Vaakuna,Kunta-nro[4],Kunnan nimi,Nimitys,Kielet,Kuntakeskus,Maakunta,Seutukunta,Väkiluku[5],Kok.pinta-ala (km²)[6],Maapinta-ala (km²)[6],Väestötiheys(as./km²)
,631,Pyhäranta,kunta,suomi,Rohdainen,Varsinais-Suomi,Vakka-Suomen seutukunta,1 989,"148,38","143,51","13,9"
,635,Pälkäne,kunta,suomi,Onkkaala,Pirkanmaa,Tampereen seutukunta,6 399,"738,12","560,70","11,4"
,636,Pöytyä,kunta,suomi,Kyrö ja Riihikoski,Varsinais-Suomi,Loimaan seutukunta,8 241,"773,55","749,94",11
,678,Raahe,kaupunki,suomi,Raahen keskustaajama,Pohjois-Pohjanmaa,Raahen seutukunta,24 290,"1 028,23","1 015,34","23,9"
,710,Raasepori,kaupunki,"ruotsi, suomi",Tammisaaren keskustaajama,Uusimaa,Raaseporin seutukunta,27 593,"1 215,45","1 148,34",24
,680,Raisio,kaupunki,suomi,Raision keskustaajama[16],Varsinais-Suomi,Turun seutukunta,24 713,"49,36","48,76","506,8"
,681,Rantasalmi,kunta,suomi,Rantasalmen kirkonkylä,Etelä-Savo,Savonlinnan seutukunta,3 350,"925,19","559,29",6
,683,Ranua,kunta,suomi,Ranuan kirkonkylä,Lappi,Rovaniemen seutukunta,3 666,"3 694,79","3 453,41","1,1"
,684,Rauma,kaupunki,suomi,Rauman keskustaajama,Satakunta,Rauman seutukunta,39 060,"510,10","496,17","78,7"
,686,Rautalampi,kunta,suomi,Rautalammin kirkonkylä,Pohjois-Savo,Sisä-Savon seutukunta,3 041,"761,99","538,96","5,6"
,687,Rautavaara,kunta,suomi,Rautavaaran kirkonkylä,Pohjois-Savo,Koillis-Savon seutukunta,1 516,"1 235,25","1 150,64","1,3"
,689,Rautjärvi,kunta,suomi,Simpele,Etelä-Karjala,Imatran seutukunta,3 122,"401,90","351,51","8,9"
,691,Reisjärvi,kunta,suomi,Reisjärven kirkonkylä,Pohjois-Pohjanmaa,Nivala–Haapajärven seutukunta,2 686,"503,34","474,64","5,7"
,694,Riihimäki,kaupunki,suomi,Riihimäen keskustaajama,Kanta-Häme,Riihimäen seutukunta,28 607,"125,55","121,01","236,4"
,697,Ristijärvi,kunta,suomi,Ristijärven kirkonkylä,Kainuu,Kajaanin seutukunta,1 226,"897,94","835,82","1,5"
,698,Rovaniemi,kaupunki,suomi,Rovaniemen keskustaajama,Lappi,Rovaniemen seutukunta,64 152,"8 016,75","7 581,51","8,5"
,700,Ruokolahti,kunta,suomi,Rasila,Etelä-Karjala,Imatran seutukunta,4 926,"1 219,85","942,28","5,2"
,702,Ruovesi,kunta,suomi,Ruoveden kirkonkylä,Pirkanmaa,Ylä-Pirkanmaan seutukunta,4 167,"950,17","776,98","5,4"
,704,Rusko,kunta,suomi,Ruskon kirkonkylä[16],Varsinais-Suomi,Turun seutukunta,6 366,"127,90","127,15","50,1"
,707,Rääkkylä,kunta,suomi,Rääkkylän kirkonkylä,Pohjois-Karjala,Keski-Karjalan seutukunta,2 052,"699,68","427,61","4,8"
,729,Saarijärvi,kaupunki,suomi,Saarijärven keskustaajama,Keski-Suomi,Saarijärven–Viitasaaren seutukunta,9 161,"1 422,72","1 251,71","7,3"
,732,Salla,kunta,suomi,Sallan kirkonkylä,Lappi,Itä-Lapin seutukunta,3 401,"5 872,41","5 729,65","0,6"
,734,Salo,kaupunki,suomi,Salon keskustaajama,Varsinais-Suomi,Salon seutukunta,51 424,"2 061,84","1 987,21","25,9"
,736,Saltvik,kunta,ruotsi,Nääs[24],Ahvenanmaa,Ålands landsbygd,1 796,"159,62","152,24","11,8"
,790,Sastamala,kaupunki,suomi,Vammalan keskustaajama,Pirkanmaa,Lounais-Pirkanmaan seutukunta,24 006,"1 531,75","1 429,16","16,8"
,738,Sauvo,kunta,suomi,Sauvon kirkonkylä,Varsinais-Suomi,Turun seutukunta,2 980,"253,87","252,63","11,8"
